Restaurant Name,Restaurant Type,Rate (Out Of 5),Num Of Ratings,Avg Cost (Two People),Online_Order,Table Booking
Art Of Flavours,Quick Bites,2.8,40,200,No,No
Artinci Artisanal Ice Cream,Dessert Parlor,2.8,40,300,Yes,No
Artville Cafe,Cafe,3.8,92,700,No,No
Arun Ice Cream,Dessert Parlor,3.4,7,150,No,No
Arun Icecreams,Dessert Parlor,3.1,6,150,No,No
Arusuvai D' Kitchen,Quick Bites,3.7,26,350,Yes,No
Arya Bhavan Sweets,Sweet Shop,3.2,6,300,No,No
Arya Hungry?,Quick Bites,4.3,277,450,Yes,No
Arya Vysya Refreshment,Quick Bites,,40,100,No,No
Aryan's Kitchen,Quick Bites,3.1,97,500,Yes,No
Arzak,"Takeaway, Delivery",2.8,40,300,No,No
As On Fire,Food Truck,3.4,41,400,Yes,No
Asaivam Restaurant,Casual Dining,4,69,750,Yes,No
Ascharya Hotel,Quick Bites,3.3,10,300,Yes,No
ASEAN - On The Edge,Casual Dining,4.4,861,1800,Yes,Yes
Asgardian Moreover Chai,Quick Bites,2.8,40,300,No,No
Asha Food Camp,Casual Dining,4,137,700,No,Yes
Asha Sweets Center,"Sweet Shop, Quick Bites",4.1,57,200,Yes,No
Asha Sweets Centre,Dessert Parlor,3.6,27,250,Yes,No
Asha Tiffins,Quick Bites,4.3,278,150,Yes,No
Asharfilal,Dessert Parlor,3.5,10,150,Yes,No
Ashirvaad Grand,Quick Bites,4,113,400,Yes,No
Ashirvad Resturant,Quick Bites,3.2,7,300,No,No
Ashirvad Veg,Quick Bites,3.4,9,300,No,No
Asia Alive - DoubleTree Suites By Hilton,Fine Dining,4.1,237,2000,No,Yes
Asia In A Box,Casual Dining,2.9,18,550,Yes,No
Asia Kitchen By Mainland China,"Casual Dining, Bar",4.9,2178,1500,Yes,Yes
ASIA SEVEN,Food Court,3.3,4,300,Yes,No
Assi Tussi Lassi,Beverage Shop,3.6,25,200,Yes,No
At North Parontha Hut,Quick Bites,2.8,40,200,No,No
Athithi,Casual Dining,2.8,80,650,No,No
Athithi Grand Restaurant,Casual Dining,3,74,700,Yes,No
Atithi,Casual Dining,3.7,18,750,No,No
Atithi Aharadhama,Quick Bites,3.2,4,200,No,No
Atithi Aramane Veg,Quick Bites,3.9,48,300,Yes,No
Atithi Biryani Corner,Quick Bites,3.3,4,200,Yes,No
Atithi Family Bar & Restaurant,"Casual Dining, Bar",3.6,31,500,Yes,No
Atithi Grand Veg Hotel,Quick Bites,2.8,40,300,No,No
Atithi Point Ande Ka Funda,Quick Bites,3.1,29,150,No,No
Atithi Sambrama,Quick Bites,3.9,69,200,Yes,No
Atithi Satkaar,Quick Bites,3.2,8,150,No,No
Atithi Satkar,Casual Dining,3.7,91,400,No,No
Atomic Lab,"Casual Dining, Bar",3.5,53,1800,No,No
Atta Galata,Quick Bites,4.1,208,200,No,No
Atte Maneya Oota,Quick Bites,2.8,40,400,No,No
Attic Lounge,Cafe,4,1229,700,Yes,Yes
Atty's Bakery,Bakery,4,73,250,Yes,No
Aubree,"Cafe, Bakery",3.2,5,400,Yes,No
Aubree Le Chocolatier,Dessert Parlor,2.8,40,300,Yes,No
Auntie Anne's,Dessert Parlor,4,24,500,No,No
Auntie Fung's,Casual Dining,4.2,577,600,Yes,No
Aura - Radha Regent,Bar,3.6,116,1200,No,Yes
Authentic Aandhra,Delivery,2.8,40,300,Yes,No
AutoExpress - Hot Dogs,Quick Bites,3.3,5,300,Yes,No
Avanti Indian Barbeque & Grill,Casual Dining,3.4,46,1100,No,No
Avista Cafe Pizzeria,Cafe,4.5,506,650,Yes,Yes
Avon Bar & Kitchen,Casual Dining,3.7,104,700,No,No
Awesome Biryani,"Takeaway, Delivery",2.8,40,500,No,No
Awesome Foods,Quick Bites,3.7,23,300,Yes,No
Axomi - Taste of Assam,Casual Dining,4,610,500,Yes,No
Ayda Persian Kitchen,Casual Dining,3.7,39,950,No,No
Ayodhya Food Line,Quick Bites,3.4,10,250,Yes,No
Ayodhya Sagara,Quick Bites,3.8,65,200,Yes,No
Ayodhya Upachar,Quick Bites,4.3,734,200,Yes,No
Ayush Reddy Tiffins & Fast Food Center,Quick Bites,,40,300,No,No
Azimmo Treat,Casual Dining,3.8,41,700,Yes,No
Azura Restaurant,Casual Dining,2.8,95,500,Yes,No
B & B The Pub,"Casual Dining, Bar",3.6,29,1000,No,No
B Bhagat Tarachand,Casual Dining,4.2,176,700,Yes,Yes
b Cafe - Shangri-La Hotel,"Fine Dining, Bar",4.3,429,3400,No,Yes
B.M.W - Bhookh Mitaane Wala,Delivery,3.6,504,500,Yes,No
B.M.W Bhookh Mitaane Wala,Quick Bites,3.5,8,500,Yes,No
B1,Pub,3.9,123,1100,Yes,Yes
B2D Indori Dhaba,Quick Bites,3.3,4,100,No,No
B52 - Sports Bar,Bar,3.5,107,1200,Yes,Yes
Baahubelly,Casual Dining,3.7,68,500,No,No
Baar Union,"Bar, Pub",4.6,634,850,No,Yes
Baba Bhature,"Takeaway, Delivery",3.7,22,200,Yes,No
Baba Chatkora,Casual Dining,2.8,40,1000,No,No
Baba Da Dhaba,Casual Dining,3.6,32,650,No,Yes
Baba Fattoosh,Delivery,3.6,14,300,No,No
Baba Ka Dhaba,Quick Bites,3.7,194,400,Yes,No
BabaYaga's,"Bar, Casual Dining",4,241,1500,No,Yes
Babu Moshai,Quick Bites,3,43,500,Yes,No
Bachelor's Special Biriyani,Quick Bites,3.3,6,250,No,No
Bada Bing Burgers,Delivery,3.5,13,300,Yes,No
Bademiyan Kebabs,Casual Dining,3.8,86,600,Yes,No
Bageecha,Casual Dining,2.1,479,650,Yes,No
Bahar Cafe,Casual Dining,4,903,750,Yes,Yes
Baisakhi,Casual Dining,3.8,527,500,Yes,No
Baithak,"Casual Dining, Bar",4.2,1383,1100,No,No
Bajji House,Quick Bites,3.5,7,100,Yes,No
Bake a Smile,"Takeaway, Delivery",3.4,9,400,No,No
Bake Addiction,Bakery,4,88,500,Yes,No
Bake and Fry,"Takeaway, Delivery",3.1,9,400,Yes,No
Bake and Juice,Quick Bites,3.5,15,400,Yes,No
Bake Delite,"Bakery, Quick Bites",3.7,18,400,Yes,No
Bake Land,Bakery,3.2,15,150,No,No
Bake N Joy,Dessert Parlor,3.5,6,500,No,No
Bake The Cake,"Bakery, Beverage Shop",3.2,4,250,Yes,No
Bake-ooh,"Takeaway, Delivery",3.7,17,350,No,No
Baker Ree,Delivery,3.7,22,200,No,No
Bakers 77,"Bakery, Quick Bites",2.8,40,400,No,No
Baker's Cafe,Bakery,3.5,8,200,Yes,No
Bakers Day,Bakery,3.9,48,200,No,No
Baker's Glove,"Bakery, Quick Bites",3.3,7,550,Yes,No
Baker's Home,"Bakery, Dessert Parlor",3.9,179,300,Yes,No
Bakers Paradise,"Bakery, Dessert Parlor",3,8,100,No,No
Bakers Town,Cafe,3.5,42,600,Yes,No
Bakers77,"Bakery, Quick Bites",3.8,35,,No,No
Bakewalk,Bakery,3.3,4,200,No,No
Bakimo,Casual Dining,3.5,7,850,No,No
Bakingo,Bakery,3.4,6,500,Yes,No
Balaji Abhiruchi Multicuisine Restaurant,Casual Dining,3.4,27,550,No,No
Balaji Bombay Vada Pav Gujrati Dalebi,Takeaway,3.8,37,150,Yes,No
Balaji Hotel,Quick Bites,2.8,40,300,Yes,No
Ballava,Quick Bites,3.3,5,400,No,No
Balle Balle Dhaba,Quick Bites,3.6,195,500,Yes,No
Balle-Licious Kitchen,Delivery,3.9,170,400,Yes,No
Baluchi - The Lalit Ashok Bangalore,Fine Dining,4,134,3700,No,Yes
Bamboo Heights,Casual Dining,3.7,112,500,No,No
Bamboo Shades,Casual Dining,2.8,48,1000,Yes,No
Bamey's Restro Cafe,Casual Dining,4.2,532,600,Yes,No
Banana Beach Bar,Bar,3.7,1014,1300,Yes,Yes
Banana Leaf,Casual Dining,3.5,12,500,No,No
Banaras Sweet House,"Sweet Shop, Quick Bites",3.7,24,100,No,No
Banarasi Chat Centre,Quick Bites,3.2,6,150,No,No
Banarasi Tadka,Quick Bites,2.7,16,200,No,No
Banashankari Biriyani,Quick Bites,2.8,40,300,No,No
Banashankari Donne Biriyani,Quick Bites,3.3,4,300,No,No
Banashankari Nati Style,Quick Bites,3.6,8,300,Yes,No
Banashankari Restaurant,Quick Bites,3.6,24,400,Yes,No
BanBay,Cafe,4,44,1100,No,No
Banchharam,Quick Bites,3.9,65,200,No,No
Bang - The Ritz-Carlton,Lounge,4.2,477,3000,No,Yes
Bangali Babu Restaurant,Sweet Shop,3.2,4,250,No,No
Bangaliana,Casual Dining,3,61,600,Yes,No
Bangalir Rannaghar,Quick Bites,2.9,58,250,No,No
Bangalore Agarwal Bhavan,Quick Bites,3,5,500,No,No
BANGALORE BOX,"Casual Dining, Bar",4.1,612,1500,Yes,Yes
Bangalore Brew Works,"Microbrewery, Lounge",4.2,2212,1700,No,Yes
Bangalore Bytes,Quick Bites,3.5,121,300,Yes,No
Bangalore Cafe,Quick Bites,3.7,197,400,Yes,No
Bangalore Cakes,Bakery,2.9,17,250,Yes,No
Bangalore Donne Biriyani,Quick Bites,3.2,4,300,Yes,No
Bangalore Durbar Fast Food,"Takeaway, Delivery",3.6,18,600,Yes,No
Bangalore Express,"Takeaway, Delivery",2.8,40,300,No,No
Bangalore Food Cafe,Quick Bites,2.8,40,300,No,No
Bangalore Grill House,Quick Bites,3.2,6,300,No,No
Bangalore Mandarin,Casual Dining,4.2,764,1100,Yes,No
Bangalore Masala House,Cafe,4.1,257,500,Yes,No
Bangalore Pantry,Quick Bites,2.8,40,400,Yes,No
Bangalore Pub Exchange,"Pub, Casual Dining",4.1,207,1000,No,Yes
Bangalore Shadi Biriyani,Quick Bites,3.5,57,150,Yes,No
Bangalore Star Biriyani,Quick Bites,3.4,7,300,No,No
Bangalore Vibes,Quick Bites,3.2,4,300,Yes,No
Bangarpet Chat Express,Quick Bites,3.3,6,100,Yes,No
Bangarpet Chats,Quick Bites,2.8,40,80,No,No
Bangarpet Chats Adda,Quick Bites,2.8,40,200,Yes,No
Bangarpet Chats Corner,Quick Bites,3.3,7,150,No,No
Banjara Melting Pot,Casual Dining,4.2,474,1700,Yes,Yes
Bansuri Sweets,Quick Bites,3.8,110,200,No,No
Bao & Grills,Food Court,2.8,40,300,No,No
Bao and Rolls,Quick Bites,3.6,19,250,No,No
BAR BAR,"Bar, Casual Dining",4.1,1003,1500,No,Yes
Bar UNO - JW Marriott Bengaluru,Lounge,3.9,72,2500,No,No
Barbecoa,Casual Dining,4.3,1303,1000,No,No
Barbecue by Punjab Grill,Casual Dining,4.7,1316,1300,No,Yes
Barbecued - By The Orchard,Casual Dining,4.3,592,1200,No,Yes
Barbeque Delight,Casual Dining,3.4,173,650,Yes,No
Barbeque Nation,Casual Dining,3.8,32,1600,No,No
Barbeque Station,Casual Dining,2.8,151,700,Yes,No
Barcode,Bar,3.8,169,1300,No,Yes
Barebones - The Balcony Bar,"Bar, Casual Dining",4.2,2445,1500,No,Yes
Barista,Cafe,3.2,11,300,No,No
Barkaas,Casual Dining,4.2,198,1000,Yes,Yes
Barkat,Quick Bites,3.4,5,250,No,No
Barley & Grapes Cafe,Cafe,4.2,842,1000,No,No
Barleyz,"Lounge, Microbrewery",3.7,4650,2000,No,No
Basava Bhavana (B2),Quick Bites,2.8,40,200,No,No
Basavanagudi Mylari,Quick Bites,4,52,300,No,No
Basaveshwara Kanawali,Quick Bites,3.5,13,250,No,No
Basaveshwara Khanavali,Quick Bites,3.3,11,150,No,No
Basaveshwarnagar Dosa Corner,Quick Bites,3.8,75,200,Yes,No
Basawa Hotel,Quick Bites,3.4,8,250,No,No
Based On A True Story- Bistro,"Cafe, Quick Bites",4.3,496,800,Yes,Yes
Basil Joint,"Takeaway, Delivery",3.5,24,300,Yes,No
Baskin Robbins,Dessert Parlor,2.9,20,250,Yes,No
Basmati Bar & Restaurant,Casual Dining,3.8,345,800,Yes,Yes
Basmati Delights,Delivery,4,869,500,Yes,No
Basmati Restaurant,Casual Dining,3.8,419,900,Yes,No
Basmati's Briyani Nation,"Takeaway, Delivery",2.8,40,350,Yes,No
Basveshwara Khaanavali,Quick Bites,2.8,40,250,No,No
Bat Chef,Quick Bites,2.6,26,500,Yes,No
Bathinda Dine,Casual Dining,3.9,266,950,Yes,No
Bathinda Junction,Casual Dining,3.8,367,600,Yes,No
Bathinda Tandoor,Quick Bites,2.8,40,300,Yes,No
Batter Splatter,Bakery,3.3,5,350,No,No
Bawarchi,Quick Bites,3,29,400,No,No
Bawarchi Biryani,Quick Bites,3.4,65,350,Yes,No
Bawarchi Inn,Casual Dining,3,140,600,Yes,No
Bawarchi Khaana,Quick Bites,3.3,56,600,Yes,No
Bawarchi Paradise,Quick Bites,3.5,89,500,Yes,No
Bawarchi Restaurant,Casual Dining,3.1,4,700,No,No
Bay Root,Quick Bites,3.7,24,400,No,No
Bazaar - Zone By The Park,Casual Dining,4,415,1400,No,Yes
Bazaar- Zone By The Park,Casual Dining,3.8,52,1100,No,Yes
BBCUE Whitefield,Fine Dining,3.5,8,2400,No,No
BBQ King,Casual Dining,3.4,6,400,No,No
BBQ Ride 46,Food Truck,3.4,7,200,Yes,No
BBQ@52,Casual Dining,3.7,41,1500,No,Yes
BBQ'D - Global Grill & Brewery,"Casual Dining, Microbrewery",4.3,456,1500,No,No
BBxR,Delivery,3.5,11,400,No,No
BDBD Banashri Davangere Benne Dose Hotel,Quick Bites,3.7,16,150,Yes,No
Beach Hut,Casual Dining,3.5,134,650,No,No
Bean D'er Cafe,Quick Bites,3.4,8,250,Yes,No
Bean Flickers,Cafe,4.3,391,700,Yes,No
Bearfoot Cafe,Cafe,4.2,174,600,Yes,No
Bearful,Casual Dining,3.8,179,1000,Yes,No
Bearys Restaurant,Casual Dining,3.3,6,450,No,No
Beer Adda,"Casual Dining, Pub",4.2,541,1000,Yes,Yes
Beetle Juice Bar - Springs Hotel & Spa,Bar,3.7,64,2200,No,Yes
Begin with us....Tea Time Cafe,Beverage Shop,3.8,36,300,Yes,No
Begum's Biriyani,Quick Bites,3.2,4,500,No,No
Behrouz Biryani,Delivery,3.9,114,650,Yes,No
Beijing Bites,Casual Dining,2.7,128,850,No,No
BEIR,Casual Dining,2.8,40,800,No,No
Bekal,Casual Dining,4,277,700,Yes,No
Belgian Waffle Factory,Dessert Parlor,4.8,186,400,Yes,No
BelgYum,Dessert Parlor,2.8,40,400,Yes,No
Bella,Casual Dining,3.9,142,1000,Yes,Yes
Bella?s Kitchen,Casual Dining,2.9,31,600,No,No
Bellandur Kitchen,Quick Bites,3.4,17,400,Yes,No
Belly Deli,Delivery,4.1,178,400,Yes,No
Belly Doze,"Takeaway, Delivery",3.6,31,600,No,No
Belly Squad Food Truck,Food Truck,3.8,55,300,No,No
Benaka Sweets,Sweet Shop,3.3,7,300,No,No
Bendakaluru Bytes,Quick Bites,3.2,154,300,Yes,No
Bene - Sheraton Grand Bangalore Hotel at Brigade...,Fine Dining,4.2,244,2500,No,Yes
Bengal Biriyani,Quick Bites,2.9,28,150,No,No
Bengal Sweets,"Sweet Shop, Quick Bites",3.9,40,300,No,No
Bengali Fun Foods,Casual Dining,3.9,65,600,Yes,Yes
Bengalooru Tiffany's,Quick Bites,3,38,400,Yes,No
Bengaluru Baking Company - JW Marriott Bengaluru,"Bakery, Cafe",4.3,521,1400,No,No
Bengaluru Cafe,Quick Bites,3.3,4,150,No,No
Bengaluru Coffee House,Quick Bites,4.1,201,300,Yes,No
Bengaluru House,Casual Dining,2.6,21,700,Yes,No
Bengaluru Restaurant,Casual Dining,3.1,22,1500,No,No
Bengaluru Square,Quick Bites,3.5,25,300,No,No
Bengaluru's Biryanis Paradise,Quick Bites,3.7,26,300,No,No
Benjarong,Casual Dining,4.2,858,1800,Yes,No
Benzys,Casual Dining,3.2,6,700,No,No
Berakah,Casual Dining,4,253,600,Yes,No
Berry'd Alive,Dessert Parlor,4.3,1899,400,Yes,No
Berrylicious,Dessert Parlor,3.8,89,400,Yes,No
Berrylicious Cafe,"Casual Dining, Cafe",4.1,124,900,Yes,No
Best,Quick Bites,3.4,6,400,No,No
Best B Restaurant,Quick Bites,3.5,12,400,No,No
Best Brews - Four Points by Sheraton Bengaluru...,Bar,3.6,27,1500,No,No
Best In Klass,Quick Bites,3.2,47,200,Yes,No
Best Of Bengal,Quick Bites,3.8,230,300,Yes,No
Bettaiah Military Hotel,Quick Bites,3.3,4,250,No,No
Bewiched,Quick Bites,3.4,10,300,Yes,No
Beyond Elements,"Casual Dining, Cafe",4.1,859,900,Yes,Yes
BFC Family Restaurant,Casual Dining,3.2,426,600,Yes,No
Bflat Bar,Lounge,3.9,854,1600,No,Yes
BG's Poolside Bar & Grill,"Casual Dining, Bar",4.1,106,1600,No,Yes
Bhagatram Sweets,Quick Bites,3.4,225,300,No,No
Bhagini,Casual Dining,2,259,800,No,No
Bhagini Icon Boutique Hotel,Casual Dining,3.1,6,600,Yes,No
Bhagini IRIS,Casual Dining,3.6,115,600,No,No
Bhagini Kitchen And Bar,"Casual Dining, Bar",3.8,35,1100,No,No
Bhaijaan Barbeques,Food Truck,3.4,8,200,Yes,No
Bhairava Deluxe Hindu Military Hotel,Quick Bites,3.4,4,400,No,No
Bhairaveshwara Military Hotel,Quick Bites,4.1,133,250,Yes,No
Bhaiya Ji Food Court,Quick Bites,3,16,150,No,No
Bhaiyajees,"Takeaway, Delivery",,40,300,No,No
Bhaiyaji Food Court,Quick Bites,3.3,6,300,No,No
Bhajanka's Restaurant,Casual Dining,3.6,21,700,No,No
Bhandary's Kitchen,Delivery,3.6,16,300,No,No
Bhanu Hindi Military Hotel,Quick Bites,3.4,7,300,Yes,No
Bharanis,Casual Dining,3.5,18,600,No,No
Bharat Kitchen,Quick Bites,3.7,20,300,Yes,No
Bharath Restaurant,Casual Dining,3.1,37,450,Yes,No
Bharathi Dosa Camp,Quick Bites,3.2,7,100,No,No
Bharathi Refreshments,Quick Bites,3.4,4,300,No,No
Bharatkhana,Casual Dining,3.4,6,400,No,No
Bharjari Oota,Casual Dining,3.9,153,350,No,No
Bharpur Aahar,Quick Bites,3.9,418,200,Yes,No
Bhartiya Jalpan,Casual Dining,2.8,40,700,No,No
Bhattara Bhojana,Quick Bites,3.6,66,150,Yes,No
Bhavani Chats,Quick Bites,3.6,34,100,Yes,No
Bhavani Chats N Juice,Quick Bites,3.9,91,200,Yes,No
Bhavani Military Hotel,Quick Bites,2.8,40,300,Yes,No
Bhavani Restaurant,Casual Dining,3.6,73,500,Yes,No
Bhavani Sri,Casual Dining,3,110,700,Yes,No
Bhavani Upahara,Quick Bites,3.3,9,250,Yes,No
Bhavani Vada Pav,Quick Bites,4,106,150,Yes,No
Bhavya Military Hotel,Quick Bites,3.5,18,300,No,No
Bheema's,Casual Dining,4,779,650,Yes,No
Bhikaram Chandmal Bhujiawala,Quick Bites,3,41,150,No,No
B-hive,Pub,4.3,1550,1200,No,Yes
Bhoja99,Quick Bites,2.8,40,200,No,No
Bhojan@99,Quick Bites,2.8,40,200,Yes,No
Bhojanam Restaurant,Casual Dining,3.6,196,600,No,No
Bhojohori Manna,Casual Dining,3.7,662,650,Yes,No
Bhojon Tripti,Quick Bites,2.9,24,300,Yes,No
Bhookha Sher,Quick Bites,3.2,34,350,Yes,No
BHR Foods,Quick Bites,3.4,7,350,Yes,No
Bhukkad,Quick Bites,3.1,7,250,No,No
Bhukkads,Casual Dining,3.2,63,400,Yes,No
Bhukkhad Baba,Quick Bites,3.6,132,250,Yes,No
Bhuvaneshwari Mess,Quick Bites,2.8,40,250,No,No
BIB - Breakfast in the Box,Delivery,3.5,41,600,Yes,No
BIB-Breakfast in the Box,Delivery,3.7,61,600,Yes,No
Biere Societee,Pub,4.2,320,1500,No,Yes
BiereKraft,Bar,4.2,746,1600,No,Yes
Biergarten,"Microbrewery, Pub",4.7,6865,2400,No,Yes
Big Apple Restaurant,Quick Bites,3.2,4,300,No,No
Big Bite,"Quick Bites, Beverage Shop",4,555,400,Yes,No
Big Bites,Quick Bites,3.6,21,200,No,No
Big Bowl Theory,Delivery,3.1,27,400,No,No
Big Box Theory,Delivery,3.6,11,550,No,No
Big Chick Fried Chicken,Quick Bites,3.5,11,400,Yes,No
Big Chicken,Quick Bites,3.9,110,400,Yes,No
Big Fat Brownie,"Takeaway, Delivery",3.4,6,400,Yes,No
Big Foody's,Delivery,3.2,4,500,No,No
Big Mama,Cafe,3.3,6,600,No,No
Big Mishra Pedha,Sweet Shop,2.9,23,250,Yes,No
Big Mummy,Quick Bites,3.9,214,400,Yes,No
Big Pitcher,"Pub, Microbrewery",4.6,9272,1800,No,Yes
Big Straw Blast,Beverage Shop,3.5,6,150,Yes,No
Big Wong XL,Casual Dining,4.5,678,1400,No,Yes
Biggies Burger 'n' More,Cafe,3.8,63,650,Yes,No
Bihar Bhojanalaya,Quick Bites,3.1,14,200,No,No
Bihar Ki Shan,Quick Bites,3.8,347,300,Yes,No
Bikaner Jn,Quick Bites,3.9,85,300,Yes,No
Bikaner Sweets,Sweet Shop,3.7,63,150,Yes,No
Bikaneri Sweets,Sweet Shop,3.4,19,250,Yes,No
Billionaires Cafe,Cafe,3.8,47,600,No,No
Bindu Garden Bar & Restaurant,Casual Dining,3.1,36,550,Yes,No
BingeJoy!,Kiosk,3.6,16,100,Yes,No
Birbal Darbar,Casual Dining,4.1,317,600,No,No
Birinz,Casual Dining,4.1,292,700,Yes,No
Biriyani & Kabab Corner,Quick Bites,2.8,40,350,No,No
Biriyani Adda,Quick Bites,2.8,40,350,Yes,No
Biriyani Angadi,Quick Bites,3.2,7,200,No,No
Biriyani Bhatti,Quick Bites,3.7,21,400,Yes,No
Biriyani Bungalow,Casual Dining,3.1,4,600,Yes,No
Biriyani Combo 99,Quick Bites,2.8,40,300,No,No
Biriyani Fest,Delivery,2.8,33,700,Yes,No
Biriyani House,Casual Dining,3.6,27,400,Yes,No
Biriyani Hub,Delivery,3,30,400,Yes,No
Biriyani Mane,Casual Dining,3.7,158,700,Yes,No
Biriyani Nights,"Takeaway, Delivery",2.9,119,500,Yes,No
Biriyani Paradise,Casual Dining,3.5,18,550,No,No
Biriyani Section,Quick Bites,2.8,40,300,Yes,No
Biriyani Zone,Casual Dining,3.7,22,800,Yes,No
Biriyani's House,Quick Bites,2.8,40,200,Yes,No
Biriyaniz,"Takeaway, Delivery",3.4,301,400,Yes,No
Biriyummy,Quick Bites,3.3,6,250,No,No
Biryani & Kabab,Quick Bites,3.2,4,150,No,No
Biryani & Kabab Corner,Casual Dining,3.7,32,450,No,No
Biryani Affair,Delivery,3.5,147,350,Yes,No
Biryani Bar,Delivery,2.8,40,300,Yes,No
Biryani Bazar,Quick Bites,3.3,4,250,No,No
Biryani Bowl,Kiosk,3.3,10,550,No,No
Biryani Club,Quick Bites,2.9,31,400,No,No
Biryani Darbar,Casual Dining,3.3,12,600,Yes,No
Biryani Dawat,Quick Bites,2.8,40,400,No,No
Biryani Day,Casual Dining,3.7,751,500,Yes,No
Biryani Durbar,"Takeaway, Delivery",3.7,128,400,Yes,No
Biryani Empire,Quick Bites,3,8,400,Yes,No
Biryani Express,Casual Dining,3.7,71,600,Yes,No
Biryani Factory,Delivery,2.9,14,400,Yes,No
Biryani Feast,Delivery,2.9,132,600,Yes,No
Biryani Foodies,Quick Bites,3.1,7,500,Yes,No
Biryani House,Casual Dining,3.5,11,600,Yes,No
Biryani Hub,Quick Bites,3.2,87,600,Yes,No
Biryani Hut,Quick Bites,3.5,9,300,Yes,No
Biryani Joint,Quick Bites,3.3,4,200,No,No
Biryani Junction,Quick Bites,2.3,298,450,Yes,No
Biryani Khazana,"Takeaway, Delivery",3,10,600,Yes,No
Biryani Kitchen,Food Court,4.3,627,450,Yes,No
Biryani Knights,Delivery,3.6,21,300,No,No
Biryani Lakhnawi,Quick Bites,3.6,13,500,No,No
Biryani Magic,Quick Bites,3.5,31,300,Yes,No
Biryani Mandra,"Takeaway, Delivery",3.8,70,500,Yes,No
Biryani Mane,Quick Bites,3.6,66,600,Yes,No
Biryani Miya,Delivery,2.9,15,600,Yes,No
Biryani Nights,Quick Bites,3.5,20,400,Yes,No
Biryani Palace,Casual Dining,3.6,37,750,Yes,No
Biryani Paradise,Casual Dining,3.8,131,700,Yes,No
Biryani Park,Casual Dining,3.4,85,500,Yes,No
Biryani Point,Quick Bites,3.2,7,250,No,No
Biryani Pot,Casual Dining,3.8,1071,500,Yes,No
Biryani Rooh-e-Khaas,Delivery,2.8,40,500,Yes,No
Biryani Royals Garden,Quick Bites,2.8,40,500,Yes,No
Biryani Spot,Quick Bites,3.5,9,300,Yes,No
Biryani Times,Quick Bites,3.5,16,300,No,No
Biryani Treat,Quick Bites,2.8,40,400,No,No
Biryani Treats,Delivery,2.5,105,650,No,No
Biryani Trip,Delivery,2.8,40,400,Yes,No
Biryani@Bangalore,"Takeaway, Delivery",2.9,86,300,No,No
Biryanis And More,Casual Dining,4,618,750,Yes,No
Bisi Thindi,Quick Bites,2.8,40,150,Yes,No
Bisimillah Biriyani,Quick Bites,3.5,11,300,No,No
Bisimillah Biriyani's & Kebab's,Quick Bites,3.3,6,300,No,No
Bismilla Kabab & Biryani Centre,Quick Bites,3.2,4,300,No,No
Bismilla Vaniyambadi Biriyani,Quick Bites,2.8,40,200,No,No
Bismillah Ambur Biryani,Quick Bites,3.1,7,150,No,No
Bismillah Bawarchi,Quick Bites,3.6,42,300,Yes,No
BISO - Citrus Hotels,Casual Dining,3,120,1000,No,No
Bistro Claytopia,Cafe,4.1,1845,600,Yes,Yes
Bistro Oui,"Cafe, Bar",4.1,400,1200,Yes,Yes
Biswal's Food Circle,Quick Bites,2.8,40,350,No,No
Bite and Pipes,Casual Dining,3.5,13,500,No,No
Bite Me Cupcakes,Dessert Parlor,4.1,189,300,Yes,No
Bite Sip Repeat,Quick Bites,3.4,6,150,No,No
BITEBOX,Quick Bites,4.4,150,300,Yes,No
Bites 2 Binge,Casual Dining,3.7,19,750,Yes,No
Bitez,Quick Bites,2.8,40,100,No,No
Biting Junction,Quick Bites,3.9,119,350,Yes,No
Black Cup Cafe,Cafe,3.6,19,400,Yes,No
Black Deer,"Takeaway, Delivery",4.4,149,,No,No
Black Jack,Bar,3.7,318,1400,No,No
Black Kitchen,Casual Dining,3.7,25,400,Yes,No
Black Mug Cafe,Cafe,3.7,171,300,Yes,No
Black Pagoda,Quick Bites,2.9,11,300,No,No
Black Pepper Lounge - Case de Bengaluru,Lounge,3.7,81,1200,No,Yes
Black Rock Cafe,Cafe,3.5,22,500,No,No
Blend - Royal Orchid Suites,Casual Dining,3.4,16,1300,No,No
Blends Juice Cafe,Quick Bites,,40,200,No,No
Bling - The Zuri,Lounge,3.7,228,2100,No,No
Blistering Barnacles,Pub,3.9,1214,1200,No,Yes
Blk Plus Wht,"Casual Dining, Cafe",4.3,112,800,No,No
Bloomsbury's Global Kitchen & Bakehouse,"Cafe, Dessert Parlor",4.5,733,900,Yes,Yes
BLOW,Cafe,4.2,935,750,Yes,Yes
Blu Dale Fast Food,Quick Bites,3.3,7,250,No,No
Blu Oyster,Casual Dining,2.8,40,1500,No,Yes
Blue Bar - The Taj West End,Lounge,4,113,2500,No,Yes
Blue Berry Restaurant,Casual Dining,2.9,17,600,No,No
Blue Ginger - The Taj West End,Fine Dining,4.4,514,3200,No,Yes
Blue Heaven Bar And Restaurant,Bar,3.2,6,750,No,No
Blue Terrain - Novotel,Fine Dining,4.2,505,2000,No,Yes
Blue Tokai Coffee Roasters,Cafe,2.8,40,400,Yes,No
Blue Wings Bar & Restaurant,"Bar, Casual Dining",3.7,43,700,No,No
Blueberry Restaurant,Quick Bites,3.5,48,400,Yes,No
BluO,Lounge,4.1,401,1500,No,Yes
