Restaurant Name,Restaurant Type,Rate (Out Of 5),Num Of Ratings,Avg Cost (Two People),Online_Order,Table Booking
Annapurna Andhra Hotel,Quick Bites,3.3,5,400,Yes,No
Annapurna Bengali Restaurant,Casual Dining,3.9,50,500,No,No
Annapurna Benne Dose,Quick Bites,2.8,40,200,Yes,No
Annapurna Foods,Casual Dining,3.5,11,400,Yes,No
Antarastriya,Quick Bites,3.9,461,200,Yes,No
ANTIGRAVITY,"Pub, Casual Dining",4.4,730,1500,No,Yes
Antilla Aromas,Dessert Parlor,3.7,18,300,Yes,No
Anu Momos Chinese Kitchen,Quick Bites,3.7,118,450,Yes,No
Anupam's Coast II Coast,Casual Dining,4.1,841,700,Yes,No
Anupam's Coastal Express,Casual Dining,4.1,179,600,Yes,No
Anushka Restaurant,Casual Dining,2.8,40,550,Yes,No
Apna Hotel,Quick Bites,3.5,26,300,Yes,No
Apna Punjab,Quick Bites,3.6,474,450,Yes,No
Apna Veg Dhaba,Casual Dining,3.1,35,400,Yes,No
Apoorva Multi Cuisine Restaurant,Casual Dining,3.9,236,750,Yes,No
Appam & Curry,Quick Bites,3.8,18,200,Yes,No
Appam Centre,Quick Bites,3.2,4,200,No,No
Appana Restaurant,Quick Bites,2.8,40,300,Yes,No
Appetite Workstation,Quick Bites,3.6,16,500,Yes,No
Apple Cafe,Quick Bites,3.3,14,300,No,No
Apsara Ice Cream,Dessert Parlor,3.2,4,200,No,No
AQNI,Casual Dining,3.6,89,650,Yes,No
Aqua - The Park Bangalore,"Lounge, Bar",4,195,3000,No,Yes
Arabian Bites,Quick Bites,3.4,24,300,Yes,No
Arabian Mataam,Quick Bites,3.7,19,500,No,No
Arabian Mexico,Quick Bites,3.3,53,400,Yes,No
Arabian Shawarma,Kiosk,3.7,30,150,Yes,No
Arafa Juice Center,Quick Bites,3.5,10,250,No,No
Aramane Brundavan,Casual Dining,3.3,4,450,Yes,No
Aramane Donne Biriyani,Quick Bites,3.9,189,300,Yes,No
Aramane Donne Biryani,Quick Bites,2.8,40,300,Yes,No
Aramane Donne Briyani,Quick Bites,3.9,339,300,Yes,No
Aramane Restaurant,Casual Dining,2.9,90,800,Yes,Yes
Arbor Brewing Company,"Pub, Microbrewery",4.5,8375,2000,No,Yes
Archana's First Crush,Bakery,3.7,31,400,Yes,No
Arena - Artisanal Brewkitchen,"Pub, Casual Dining",4.1,177,2000,No,Yes
Arina's,Quick Bites,3.3,5,250,No,No
Arirang Korean Restaurant,Casual Dining,4,237,1400,No,Yes
Armaani Caffe,Quick Bites,3.5,12,250,Yes,No
Arogya,Quick Bites,3.4,9,100,No,No
Arogya Thaana,Beverage Shop,3.8,72,200,Yes,No
Aroma Fine Dine,Casual Dining,4,126,900,Yes,Yes
Aroma Of Asia,Quick Bites,3.9,49,400,No,No
Aroma Spice,Casual Dining,3.7,83,800,Yes,Yes
Aroma's Hyderabad House,Casual Dining,4.2,533,800,Yes,No
Aromas Of South,Casual Dining,3.7,46,1000,No,No
Around The Corner,Quick Bites,3.6,22,350,No,No
Art Cafe,Cafe,3.5,7,1000,No,No
Art of Biryani & Curries,Delivery,3.4,9,250,Yes,No
Art of Delight,Dessert Parlor,4.3,449,400,No,No
